Kudos Date,Kudos Type,Parent ID
"Jan 6, 2021, 6:46:23 PM",Activity,4578209776
"Jan 6, 2021, 11:14:25 PM",Activity,4578456202
"Jan 7, 2021, 1:24:57 PM",Activity,4581238784
"Jan 8, 2021, 3:34:59 PM",Activity,4586518010
"Jan 8, 2021, 3:35:03 PM",Activity,4586541305
"Jan 8, 2021, 3:36:49 PM",Activity,4586718045
"Jan 9, 2021, 11:36:42 AM",Activity,4590411906
"Jan 9, 2021, 5:20:26 PM",Activity,4593091844
"Jan 9, 2021, 5:20:31 PM",Activity,4592330426
"Jan 9, 2021, 5:20:39 PM",Activity,4591771336
"Jan 10, 2021, 12:25:02 PM",Activity,4596909420
"Jan 10, 2021, 12:43:24 PM",Activity,4597189158
"Jan 10, 2021, 4:28:22 PM",Activity,4595064713
"Jan 10, 2021, 4:28:24 PM",Activity,4593711419
"Jan 10, 2021, 6:11:23 PM",Activity,4598843687
"Jan 10, 2021, 6:11:39 PM",Activity,4598719286
"Jan 11, 2021, 2:20:33 PM",Activity,4602343326
"Jan 11, 2021, 2:20:36 PM",Activity,4603077411
"Jan 12, 2021, 9:15:35 PM",Activity,4609702416
"Jan 13, 2021, 9:59:13 AM",Activity,4612719240
"Jan 16, 2021, 5:23:24 PM",Activity,4622398364
"Jan 17, 2021, 8:45:11 PM",Activity,4635429372
"Jan 17, 2021, 8:45:42 PM",Activity,4633640588
"Jan 19, 2021, 10:40:43 AM",Activity,4645133394
"Jan 20, 2021, 8:57:59 PM",Activity,4653205624
"Jan 20, 2021, 9:29:20 PM",Activity,4652144052
"Jan 21, 2021, 9:52:57 AM",Activity,4655616111
"Jan 21, 2021, 1:54:38 PM",Activity,4656889415
"Jan 22, 2021, 11:50:48 AM",Activity,4660879808
"Jan 22, 2021, 11:51:18 AM",Activity,4660807016
"Jan 22, 2021, 11:51:26 AM",Activity,4661190829
"Jan 22, 2021, 11:51:28 AM",Activity,4658275633
"Jan 23, 2021, 11:14:01 AM",Activity,4665776892
"Jan 23, 2021, 11:14:03 AM",Activity,4666072940
"Jan 23, 2021, 4:42:39 PM",Activity,4668822529
"Jan 24, 2021, 2:02:25 PM",Activity,4673078083
"Jan 24, 2021, 2:03:04 PM",Activity,4673340994
"Jan 25, 2021, 1:02:44 AM",Activity,4674768579
"Jan 25, 2021, 1:42:15 PM",Activity,4678368744
"Jan 25, 2021, 4:33:35 PM",Activity,4678971210
"Jan 26, 2021, 11:18:07 AM",Activity,4682710128
"Jan 26, 2021, 3:00:12 PM",Activity,4683984756
"Jan 26, 2021, 3:02:56 PM",Post,14172898
"Jan 28, 2021, 9:33:12 AM",Activity,4693470016
"Jan 29, 2021, 9:10:35 AM",Activity,4698468725
"Jan 29, 2021, 1:44:54 PM",Activity,4699492281
"Jan 30, 2021, 11:04:33 AM",Activity,4703405318
"Jan 30, 2021, 11:04:42 AM",Activity,4702806712
"Jan 31, 2021, 5:39:14 PM",Activity,4711383361
"Jan 31, 2021, 5:39:44 PM",Activity,4711435495
"Jan 31, 2021, 6:37:42 PM",Activity,4712907765
"Feb 1, 2021, 7:34:45 PM",Activity,4717802242
"Feb 1, 2021, 7:34:49 PM",Activity,4718219789
"Feb 2, 2021, 12:18:44 PM",Activity,4720431124
"Feb 2, 2021, 10:35:38 PM",Activity,4723782071
"Feb 5, 2021, 3:43:14 PM",Activity,4727398528
"Feb 5, 2021, 3:43:29 PM",Activity,4731876922
"Feb 5, 2021, 3:43:55 PM",Activity,4724864276
"Feb 5, 2021, 3:44:02 PM",Activity,4736923880
"Feb 8, 2021, 11:08:18 AM",Activity,4750484531
"Feb 8, 2021, 11:09:08 AM",Activity,4754324441
"Feb 8, 2021, 11:09:12 AM",Activity,4750774938
"Feb 20, 2021, 3:06:47 PM",Activity,4816737507
"Feb 22, 2021, 11:57:00 PM",Activity,4829857143
"Feb 24, 2021, 12:16:01 PM",Activity,4829665311
"Feb 28, 2021, 5:38:06 PM",Activity,4859516680
"Mar 6, 2021, 11:28:06 AM",Activity,4897845533
"Mar 6, 2021, 11:28:37 AM",Activity,4890647533
"Mar 6, 2021, 11:30:29 AM",Activity,4874608071
"Mar 6, 2021, 4:27:17 PM",Activity,4900572786
"Mar 6, 2021, 4:27:23 PM",Activity,4899974760
"Mar 8, 2021, 11:43:44 AM",Activity,4873407313
"Mar 8, 2021, 1:48:44 PM",Activity,4911986942
"Mar 9, 2021, 12:58:18 PM",Activity,4916462162
"Mar 9, 2021, 12:58:23 PM",Activity,4913794095
"Mar 16, 2021, 7:23:03 PM",Activity,4955882845
"Mar 16, 2021, 7:23:06 PM",Activity,4955869952
"Mar 16, 2021, 7:23:23 PM",Activity,4939037266
"Mar 16, 2021, 7:23:29 PM",Activity,4947891358
"Mar 17, 2021, 11:57:30 AM",Activity,4960644096
"Mar 17, 2021, 12:32:35 PM",Activity,4961366276
"Mar 17, 2021, 4:11:25 PM",Activity,4962072336
"Mar 18, 2021, 10:59:31 AM",Activity,4966524484
"Mar 18, 2021, 6:13:42 PM",Activity,4968013604
"Mar 18, 2021, 9:41:42 PM",Activity,4968877579
"Mar 18, 2021, 9:41:56 PM",Activity,4968957575
"Mar 19, 2021, 11:22:22 AM",Activity,4971284137
"Mar 19, 2021, 2:53:56 PM",Activity,4972300098
"Mar 20, 2021, 10:43:10 AM",Activity,4974087607
"Mar 20, 2021, 10:43:26 AM",Activity,4973304809
"Mar 20, 2021, 10:43:29 AM",Activity,4974332044
"Mar 20, 2021, 11:37:31 AM",Activity,4977056075
"Mar 20, 2021, 11:37:32 AM",Activity,4977051988
"Mar 21, 2021, 9:54:05 AM",Activity,4981616195
"Mar 21, 2021, 10:38:01 AM",Activity,4982689708
"Mar 23, 2021, 2:11:18 PM",Activity,4990158137
